Monthly Mean Global Surface Temperature
Year+Month,Station,Land+Ocean
1908.04,-0.39,-0.44
1908.13,-0.34,-0.32
1908.21,-0.53,-0.55
1908.29,-0.47,-0.47
1908.38,-0.35,-0.42
1908.46,-0.46,-0.43
1908.54,-0.42,-0.41
1908.63,-0.41,-0.48
1908.71,-0.19,-0.37
1908.79,-0.42,-0.46
1908.88,-0.60,-0.51
1908.96,-0.42,-0.50
1909.04,-0.80,-0.70
1909.13,-0.60,-0.48
1909.21,-0.51,-0.52
1909.29,-0.63,-0.61
1909.38,-0.60,-0.57
1909.46,-0.44,-0.54
1909.54,-0.37,-0.46
1909.63,-0.12,-0.32
1909.71,-0.21,-0.36
1909.79,-0.19,-0.38
1909.88,-0.16,-0.32
1909.96,-0.56,-0.56
1910.04,-0.47,-0.45
1910.13,-0.40,-0.45
1910.21,-0.49,-0.52
1910.29,-0.33,-0.42
1910.38,-0.27,-0.36
1910.46,-0.37,-0.39
1910.54,-0.24,-0.36
1910.63,-0.16,-0.38
1910.71,-0.11,-0.37
1910.79,-0.32,-0.40
1910.88,-0.54,-0.55
1910.96,-0.67,-0.67
1911.04,-0.67,-0.64
1911.13,-0.66,-0.58
1911.21,-0.63,-0.61
1911.29,-0.54,-0.54
1911.38,-0.39,-0.52
1911.46,-0.39,-0.48
1911.54,-0.17,-0.42
1911.63,-0.26,-0.42
1911.71,-0.27,-0.38
1911.79,-0.19,-0.24
1911.88,-0.15,-0.19
1911.96,-0.25,-0.22
1912.04,-0.19,-0.27
1912.13,-0.12,-0.13
1912.21,-0.43,-0.36
1912.29,-0.30,-0.20
1912.38,-0.20,-0.22
1912.46,-0.27,-0.27
1912.54,-0.51,-0.45
1912.63,-0.64,-0.55
1912.71,-0.36,-0.52
1912.79,-0.48,-0.57
1912.88,-0.43,-0.38
1912.96,-0.35,-0.44
1913.04,-0.46,-0.42
1913.13,-0.50,-0.44
1913.21,-0.60,-0.44
1913.29,-0.33,-0.41
1913.38,-0.65,-0.48
1913.46,-0.64,-0.50
1913.54,-0.25,-0.37
1913.63,-0.23,-0.35
1913.71,-0.22,-0.36
1913.79,-0.31,-0.35
1913.88,-0.16,-0.20
1913.96,0.03,-0.04
1914.04,0.12,0.03
1914.13,-0.06,-0.12
1914.21,-0.06,-0.23
1914.29,-0.22,-0.30
1914.38,-0.04,-0.24
1914.46,-0.11,-0.27
1914.54,-0.23,-0.25
1914.63,-0.09,-0.15
1914.71,-0.09,-0.14
1914.79,0.10,-0.05
1914.88,-0.35,-0.19
1914.96,-0.23,-0.09
1915.04,-0.19,-0.18
1915.13,0.04,-0.01
1915.21,-0.13,-0.10
1915.29,-0.04,0.05
1915.38,-0.23,-0.07
1915.46,-0.24,-0.21
1915.54,0.01,-0.11
1915.63,-0.22,-0.21
1915.71,-0.03,-0.17
1915.79,-0.11,-0.25
1915.88,0.03,-0.13
1915.96,-0.12,-0.17
1916.04,-0.08,-0.09
1916.13,-0.14,-0.13
1916.21,-0.47,-0.29
1916.29,-0.30,-0.31
1916.38,-0.37,-0.33
1916.46,-0.52,-0.47
1916.54,-0.38,-0.37
1916.63,-0.13,-0.26
1916.71,-0.19,-0.32
1916.79,-0.16,-0.27
1916.88,-0.38,-0.40
1916.96,-0.82,-0.80
1917.04,-0.53,-0.59
1917.13,-0.75,-0.61
1917.21,-0.80,-0.61
1917.29,-0.54,-0.51
1917.38,-0.81,-0.55
1917.46,-0.48,-0.44
1917.54,-0.01,-0.25
1917.63,-0.40,-0.22
1917.71,-0.33,-0.18
1917.79,-0.51,-0.41
1917.88,-0.33,-0.28
1917.96,-0.95,-0.67
1918.04,-0.64,-0.42
1918.13,-0.60,-0.32
1918.21,-0.50,-0.25
1918.29,-0.56,-0.45
1918.38,-0.79,-0.46
1918.46,-0.45,-0.36
1918.54,-0.49,-0.31
1918.63,-0.49,-0.30
1918.71,-0.19,-0.15
1918.79,0.00,-0.06
1918.88,-0.27,-0.11
1918.96,-0.37,-0.28
1919.04,-0.31,-0.21
1919.13,-0.26,-0.23
1919.21,-0.13,-0.20
1919.29,-0.14,-0.13
1919.38,-0.18,-0.28
1919.46,-0.20,-0.38
1919.54,-0.10,-0.29
1919.63,-0.09,-0.32
1919.71,-0.21,-0.22
1919.79,-0.08,-0.19
1919.88,-0.44,-0.41
1919.96,-0.31,-0.42
1920.04,-0.13,-0.22
1920.13,-0.30,-0.23
1920.21,-0.19,-0.08
1920.29,-0.22,-0.26
1920.38,-0.33,-0.27
1920.46,-0.40,-0.36
1920.54,-0.24,-0.32
